,0
0,843.0722317503528
1,8283.747063293322
2,8494.339016314836
3,3238.22796746621
4,6789.957666297507
5,8400.742010210397
6,1856.0814040334994
7,3639.7966164745885
8,13882.4105365345
9,2722.154117028589
10,4910.324328603649
11,1359.5051044217544
12,13922.347247647504
13,5577.354629343051
14,3936.6756900912837
15,17643.602649409524
16,4270.903720781379
17,10040.249869056088
18,10315.35960897814
19,7185.876403575009
20,9480.508157405575
21,6744.0009640621565
22,4848.980707278264
23,906.9132670198866
24,10235.097179955277
25,11000.504677089646
26,1532.4882766334313
27,975.7689320536251
28,21365.077550710925
29,3509.7098579195053
30,4265.887919571078
31,7324.168651379264
32,8315.124964740195
33,3660.276120532735
34,9164.958770911324
35,10161.43279228692
36,2918.9555877255
37,6950.805179761032
38,1408.7593793718981
39,2905.0074300332576
40,772.5464518468643
41,7701.764166721135
42,4138.510229710493
43,739.4928890654616
44,5226.8344575463225
45,1785.8011524630233
46,1100.8196126478276
47,3167.4106292767333
48,5543.856321740118
49,1192.2375193915275
50,875.0108544534654
51,3888.6193421259222
52,1220.1940122690094
53,3962.2700119918
54,9107.874769334576
55,7107.107303344809
56,6536.7141230008865
57,1554.8640776054035
58,15693.669523558965
59,1176.5084876689584
60,3168.981510774837
61,5845.427493588683
62,1852.7725415469645
63,6539.870869930286
64,12138.12506681993
65,10710.430863917847
66,4772.824429026792
67,9240.681174733425
68,2947.773590963604
69,4852.7990072637995
70,7561.908865934236
71,2299.8384448141805
72,7114.762831018768
73,10872.661518014556
74,2369.870074384453
75,6675.230399245979
76,9578.474880552383
77,1800.5131559084784
78,780.0430619124182
79,1465.0460122009486
80,1497.9555164288201
81,2886.1237289211176
82,5185.837553121185
83,3015.1229062556977
84,5432.246065912376
85,2597.1546363943457
86,6888.0640033725185
87,8178.752372975466
88,10389.028322728294
89,15070.165775746711
90,2942.014326912254
91,2886.8570957980864
92,8347.544131247214
93,5317.759427158425
94,4466.474773317166
95,8712.634922522044
96,6903.816148773112
97,480.0
98,2201.1622282284766
99,2824.7745543034575
