,0
0,13810.945420742193
1,2966.2428074047084
2,7556.354599331575
3,8096.981407780183
4,11185.676720130688
5,6383.138029931779
6,6695.414810348668
7,7863.900722940472
8,4174.220348361749
9,14380.55622117385
10,14870.864561957018
11,6078.793395555713
12,19204.04470370072
13,8688.578570164083
14,9280.233257063288
15,20940.430006264723
16,3979.959662722442
17,3769.5964865189885
18,6991.506668897773
19,10068.982722970097
20,6815.360257684252
21,27863.85762544628
22,9051.863217651378
23,16559.410188393886
24,5548.017224244715
25,6295.412818050485
26,7142.146086604113
27,9253.724380094933
28,9059.147400052298
29,5451.646870894808
30,14812.020017975527
31,2319.6524074716185
32,9185.063521749138
33,2715.2970847743295
34,6157.192121223917
35,9055.764840739053
36,6787.247834544519
37,7043.974617722727
38,24171.403169395653
39,3756.876677923466
40,15664.57553346319
41,5224.051291996837
42,6037.68839753751
43,15995.452149335977
44,1922.0
45,10540.338926441213
46,8073.963479740112
47,4064.5824424597513
48,8616.72903685788
49,9976.50585302851
50,25403.704406662615
51,3812.5433658539587
52,6567.345952194227
53,13522.06817572297
54,5746.010662271917
55,19523.309110337268
56,4668.102489048599
57,11888.4460523499
58,3010.8439895912143
59,3418.0691133750342
60,4987.518978872199
61,4784.018396178892
62,3020.099100588719
63,3495.839282969405
64,8505.082621725285
65,9691.543656544942
66,14504.057733248153
67,8735.923430335242
68,3046.3151731626563
69,16054.25707525163
70,11666.190195817999
71,13706.616789421838
72,8020.624462839101
73,7594.881204509566
74,12333.722429776366
75,7486.774964391001
76,6728.913446835127
77,20929.899762178546
78,6042.095117815941
79,10370.255401095406
80,3049.924578634793
81,4921.842071800671
82,6062.448379118606
83,2590.1856339693713
84,6642.849554524785
85,7554.8486161585915
86,9673.776263407228
87,14284.848524831988
88,2414.7078107048296
89,5597.513965101835
90,11263.713563498217
91,5513.13779840986
92,21432.33268527484
93,9739.33354468658
94,7003.249346411258
95,1904.1187746286587
96,4700.367573642648
97,1795.9464743044202
98,4223.877969055429
99,15821.437233873867
