,0
0,12339.969794459654
1,7148.9100916855305
2,10019.45347289536
3,5492.91971003654
4,12585.883546719426
5,8655.685033751246
6,3440.461183591599
7,7282.568493485354
8,2725.3222179207496
9,5248.862611708938
10,589.7905036650839
11,4777.824376364788
12,1623.5858964941128
13,6637.942682448663
14,6320.565797135431
15,3250.9605686271043
16,2453.3051202390907
17,2584.068289451668
18,3385.492534616754
19,7254.710269431254
20,6115.099348170233
21,10874.097205288463
22,3292.5381944815686
23,1309.7272774020316
24,5031.227202547539
25,1156.2297330635154
26,6264.11157903777
27,11034.21954750303
28,3570.090914069349
29,5818.650472066882
30,7407.033967903453
31,7081.966986208015
32,4300.1475376425915
33,3753.099620776904
34,9410.367195851744
35,3158.022951536145
36,8737.233900097846
37,4855.805169773531
38,1218.5644109015896
39,6215.378507411629
40,6589.512666706487
41,4659.7803664355215
42,3360.105275081881
43,17697.102176671026
44,7818.86138143973
45,652.5381675577448
46,17175.118207886946
47,3386.2547200836425
48,6228.026763306798
49,4518.743288387828
50,12315.239399497981
51,2938.805330623441
52,5554.315426606193
53,6004.024705097766
54,2040.0
55,2309.411368646568
56,5891.309298204553
57,2303.216807525112
58,6523.429545254832
59,5131.871385730282
60,1179.5874056667035
61,2146.770093789331
62,7445.781016862989
63,1962.0
64,4545.621696694925
65,5252.923186062698
66,5994.261588398817
67,456.91089388086624
68,15467.699400654828
69,2078.117980045617
70,3281.8738421441576
71,7233.468758097797
72,1926.6704554966782
73,2152.2198676690264
74,4323.768938247916
75,7721.812198053068
76,883.7427327355473
77,5295.743175880639
78,5748.443449202864
79,6430.4291813424925
80,3303.1413949850466
81,16813.351080287604
82,770.8376853194774
83,1252.6893655318897
84,4055.237762217095
85,6051.319730341152
86,2209.896848704657
87,2131.8881406909068
88,1478.8342836677698
89,11278.510443870875
90,5062.816530030404
91,2253.1926079912523
92,1951.8889776503795
93,6995.353480408642
94,2606.6987055201735
95,1106.5473103758586
96,396.1923910297664
97,4983.327443848699
98,2595.546222063813
99,2632.0594607493726
